name,status,wiki_flags,note
llAbs,missing,,
llAcos,missing,,
llAddToLandBanList,missing,,
llAddToLandPassList,partial,,stub: prints not implemented and returns default void
llAdjustDamage,missing,NEW,
llAdjustSoundVolume,partial,,stub: prints not implemented and returns default void
llAgentInExperience,missing,X I,
llAllowInventoryDrop,partial,,stub: prints not implemented and returns default void
llAngleBetween,missing,,
llApplyImpulse,partial,,stub: prints not implemented and returns default void
llApplyRotationalImpulse,partial,,stub: prints not implemented and returns default void
llAsin,missing,,
llAtan2,missing,,
llAttachToAvatar,partial,,stub: prints not implemented and returns default void
llAttachToAvatarTemp,partial,I,stub: prints not implemented and returns default void
llAvatarOnLinkSitTarget,missing,I,
llAvatarOnSitTarget,partial,,stub: prints not implemented and returns default key
llAxes2Rot,missing,,
llAxisAngle2Rot,missing,,
llBase64ToInteger,missing,,
llBase64ToString,missing,,
llBreakAllLinks,missing,,
llBreakLink,missing,,
llCastRay,missing,I,
llCeil,missing,,
llChar,missing,I,
llClearCameraParams,partial,,stub: prints not implemented and returns default void
llClearLinkMedia,missing,I,
llClearPrimMedia,missing,,
llCloseRemoteDataChannel,missing,D,
llCloud,missing,D,
llCollisionFilter,partial,,stub: prints not implemented and returns default void
llCollisionSound,missing,,
llCollisionSprite,missing,,
llComputeHash,missing,NEW,
llCos,missing,,
llCreateCharacter,missing,I,
llCreateKeyValue,missing,X I,
llCreateLink,partial,,stub: prints not implemented and returns default void
llCSV2List,implemented,,basic CSV split
llDamage,missing,NEW,
llDataSizeKeyValue,missing,X I,
llDeleteCharacter,partial,I,stub: prints not implemented and returns default void
llDeleteKeyValue,missing,X I,
llDeleteSubList,implemented,,basic slice delete
llDeleteSubString,missing,,
llDerezObject,missing,U,
llDetachFromAvatar,partial,,stub: prints not implemented and returns default void
llDetectedDamage,missing,NEW,
llDetectedGrab,missing,,
llDetectedGroup,partial,,reads current simplified sensor detection record
llDetectedKey,partial,,reads current simplified sensor detection record
llDetectedLinkNumber,partial,,reads current simplified sensor detection record
llDetectedName,partial,,reads current simplified sensor detection record
llDetectedOwner,partial,,reads current simplified sensor detection record
llDetectedPos,partial,,reads current simplified sensor detection record
llDetectedRezzer,missing,NEW,
llDetectedRot,partial,,reads current simplified sensor detection record
llDetectedTouchBinormal,missing,,
llDetectedTouchFace,missing,,
llDetectedTouchNormal,missing,,
llDetectedTouchPos,missing,,
llDetectedTouchST,missing,,
llDetectedTouchUV,missing,,
llDetectedType,partial,,reads current simplified sensor detection record
llDetectedVel,partial,,reads current simplified sensor detection record
llDialog,partial,,records latest dialog and emits button responses through chat
llDie,partial,,stub: prints not implemented and returns default void
llDumpList2String,missing,,
llEdgeOfWorld,missing,,
llEjectFromLand,partial,,stub: prints not implemented and returns default void
llEmail,partial,,stub: prints not implemented and returns default void
llEscapeURL,partial,,stub: prints not implemented and returns default string
llEuler2Rot,missing,,
llEvade,missing,I,
llExecCharacterCmd,missing,I,
llFabs,missing,,
llFindNotecardTextSync,missing,NEW I,
llFleeFrom,missing,I,
llFloor,missing,,
llForceMouselook,missing,,
llFrand,missing,,
llGenerateKey,missing,I,
llGetAccel,missing,,
llGetAgentInfo,missing,,
llGetAgentLanguage,partial,,reads demo avatar language
llGetAgentList,partial,I,returns avatars in the current harness region
llGetAgentSize,missing,,
llGetAlpha,missing,,
llGetAndResetTime,partial,,stub: prints not implemented and returns default float
llGetAnimation,partial,,stub: prints not implemented and returns default string
llGetAnimationList,partial,,stub: prints not implemented and returns default list
llGetAnimationOverride,missing,I,
llGetAttached,partial,,stub: prints not implemented and returns default integer
llGetAttachedList,missing,I,
llGetAttachedListFiltered,missing,NEW I,
llGetBoundingBox,partial,,stub: prints not implemented and returns default list
llGetCameraAspect,missing,NEW,
llGetCameraFOV,missing,NEW,
llGetCameraPos,partial,,stub: prints not implemented and returns default vector
llGetCameraRot,partial,,stub: prints not implemented and returns default rotation
llGetCenterOfMass,partial,,stub: prints not implemented and returns default vector
llGetClosestNavPoint,missing,I,
llGetColor,missing,,
llGetCreator,partial,,reads harness object creator key
llGetDate,missing,,
llGetDayLength,missing,I,
llGetDayOffset,missing,I,
llGetDisplayName,partial,,reads demo avatar display name
llGetEnergy,missing,,
llGetEnv,missing,U,
llGetEnvironment,missing,I,
llGetExperienceDetails,missing,X I,
llGetExperienceErrorMessage,missing,X I,
llGetForce,missing,,
llGetFreeMemory,partial,,stub: prints not implemented and returns default integer
llGetFreeURLs,missing,,
llGetGeometricCenter,partial,,stub: prints not implemented and returns default vector
llGetGMTclock,partial,,stub: prints not implemented and returns default float
llGetHealth,missing,NEW,
llGetHTTPHeader,missing,,
llGetInventoryAcquireTime,partial,I,reads stored inventory metadata when present
llGetInventoryCreator,partial,,reads stored inventory metadata when present
llGetInventoryKey,partial,,returns inventory item UUID by name
llGetInventoryName,partial,,returns inventory item names by type/index
llGetInventoryDesc,partial,,reads stored inventory metadata when present
llGetInventoryNumber,partial,,counts current prim inventory by type
llGetInventoryPermMask,partial,,returns stored inventory permissions or permissive default
llGetInventoryType,partial,,returns inventory item type by name
llGetKey,partial,,returns current harness object UUID
llGetLandOwnerAt,missing,,
llGetLinkKey,partial,,reads prim UUID by link number
llGetLinkMedia,missing,I,
llGetLinkName,partial,,reads prim name by link number
llGetLinkNumber,partial,,reads current prim link number
llGetLinkNumberOfSides,missing,,
llGetLinkPrimitiveParams,partial,,supports a small model-backed PRIM_* subset
llGetLinkSitFlags,missing,NEW,
llGetListEntryType,missing,,
llGetListLength,implemented,,Python len over list
llGetLocalPos,missing,,
llGetLocalRot,missing,,
llGetMass,partial,,returns simplified object mass from prim count
llGetMassMKS,missing,I,
llGetMaxScaleFactor,missing,I,
llGetMemoryLimit,missing,I,
llGetMinScaleFactor,missing,I,
llGetMoonDirection,missing,I,
llGetMoonRotation,missing,I,
llGetNextEmail,partial,,stub: prints not implemented and returns default void
llGetNotecardLine,partial,,queues dataserver event from stored notecard lines
llGetNotecardLineSync,missing,NEW I,
llGetNumberOfNotecardLines,partial,,queues dataserver event with stored notecard line count
llGetNumberOfPrims,partial,,counts prims in current linkset
llGetNumberOfSides,missing,,
llGetObjectAnimationNames,missing,,
llGetObjectDesc,partial,,reads harness object description
llGetObjectDetails,partial,U,supports a subset of OBJECT_* constants
llGetObjectLinkKey,missing,,
llGetObjectMass,partial,,returns simplified object mass from prim count
llGetObjectName,partial,,returns harness object name
llGetObjectPermMask,partial,,stub: prints not implemented and returns default integer
llGetObjectPrimCount,partial,,counts prims for a known object
llGetOmega,missing,,
llGetOwner,partial,,returns harness owner key
llGetOwnerKey,partial,,resolves owner for known objects/agents
llGetParcelDetails,partial,,supports a subset of PARCEL_DETAILS_* constants
llGetParcelFlags,missing,,
llGetParcelMaxPrims,missing,,
llGetParcelMusicURL,partial,I,reads current demo parcel music URL
llGetParcelPrimCount,missing,,
llGetParcelPrimOwners,missing,,
llGetPermissions,partial,,stub: prints not implemented and returns default integer
llGetPermissionsKey,partial,,stub: prints not implemented and returns default key
llGetPhysicsMaterial,missing,I,
llGetPos,partial,,returns harness object position
llGetPrimitiveParams,partial,,supports a small model-backed PRIM_* subset
llGetPrimMediaParams,missing,,
llGetRegionAgentCount,missing,,
llGetRegionCorner,partial,,reads demo region corner
llGetRegionDayLength,missing,I,
llGetRegionDayOffset,missing,I,
llGetRegionFlags,missing,,
llGetRegionFPS,partial,,reads demo region FPS
llGetRegionMoonDirection,missing,I,
llGetRegionMoonRotation,missing,I,
llGetRegionName,partial,,reads demo region name
llGetRegionSunDirection,missing,I,
llGetRegionSunRotation,missing,I,
llGetRegionTimeDilation,partial,,reads demo region time dilation
llGetRegionTimeOfDay,missing,,
llGetRenderMaterial,missing,NEW,
llGetRootPosition,partial,,stub: prints not implemented and returns default vector
llGetRootRotation,partial,,stub: prints not implemented and returns default rotation
llGetRot,partial,,reads harness object rotation
llGetScale,partial,,reads current prim scale
llGetScriptName,partial,,stub: prints not implemented and returns default string
llGetScriptState,partial,,stub: prints not implemented and returns default integer
llGetSimStats,missing,I,
llGetSimulatorHostname,missing,,
llGetSPMaxMemory,missing,I,
llGetStartParameter,missing,,
llGetStartString,missing,NEW,
llGetStaticPath,missing,I,
llGetStatus,partial,,stub: prints not implemented and returns default integer
llGetSubString,implemented,,basic inclusive substring
llGetSunDirection,partial,I,stub: prints not implemented and returns default vector
llGetSunRotation,missing,I,
llGetTexture,missing,,
llGetTextureOffset,missing,,
llGetTextureRot,missing,,
llGetTextureScale,missing,,
llGetTime,partial,,stubbed constant
llGetTimeOfDay,partial,,stub: prints not implemented and returns default float
llGetTimestamp,partial,,stub: prints not implemented and returns default string
llGetTorque,missing,,
llGetUnixTime,partial,,stub: prints not implemented and returns default integer
llGetUsedMemory,partial,I,stub: prints not implemented and returns default integer
llGetUsername,missing,,
llGetVel,partial,,reads harness object velocity
llGetVisualParams,missing,I,
llGetWallclock,missing,,
llGiveAgentInventory,missing,,
llGiveInventory,partial,,stub: prints not implemented and returns default void
llGiveInventoryList,partial,,stub: prints not implemented and returns default void
llGiveMoney,missing,,
llGodLikeRezObject,missing,G,
llGround,partial,,stub: prints not implemented and returns default float
llGroundContour,partial,,stub: prints not implemented and returns default vector
llGroundNormal,partial,,stub: prints not implemented and returns default vector
llGroundRepel,partial,,stub: prints not implemented and returns default void
llGroundSlope,partial,,stub: prints not implemented and returns default vector
llHash,missing,I,
llHMAC,missing,I,
llHTTPRequest,partial,,stdlib HTTP request; simplified options/headers/events
llHTTPResponse,missing,,
llInsertString,missing,,
llInstantMessage,missing,,
llIntegerToBase64,missing,,
llIsFriend,missing,I,
llIsLinkGLTFMaterial,missing,NEW I,
llJson2List,missing,I,
llJsonGetValue,partial,I,basic JSON path lookup
llJsonSetValue,missing,I,
llJsonValueType,missing,I,
llKey2Name,partial,I,resolves known avatar/object names
llKeyCountKeyValue,missing,X I,
llKeysKeyValue,missing,X I,
llLinear2sRGB,missing,I,
llLinkAdjustSoundVolume,missing,I,
llLinkParticleSystem,missing,,
llLinkPlaySound,missing,I,
llLinksetDataAvailable,missing,I,
llLinksetDataCountFound,missing,I,
llLinksetDataCountKeys,missing,I,
llLinksetDataDelete,implemented,I,in-memory linkset data
llLinksetDataDeleteFound,missing,I,
llLinksetDataDeleteProtected,missing,I,
llLinksetDataFindKeys,missing,I,
llLinksetDataListKeys,missing,I,
llLinksetDataRead,implemented,I,in-memory linkset data
llLinksetDataReadProtected,missing,I,
llLinksetDataReset,implemented,I,in-memory linkset data
llLinksetDataWrite,implemented,I,in-memory linkset data
llLinksetDataWriteProtected,missing,I,
llLinkSetSoundQueueing,missing,I,
llLinkSetSoundRadius,missing,I,
llLinkSitTarget,missing,I,
llLinkStopSound,missing,I,
llList2CSV,implemented,,basic join
llList2Float,implemented,,basic indexed conversion
llList2Integer,implemented,,basic indexed conversion
llList2Json,missing,I,
llList2Key,implemented,,basic indexed conversion
llList2List,partial,,basic and wrap slice handling only
llList2ListSlice,missing,I,
llList2ListStrided,missing,,
llList2Rot,implemented,,basic indexed conversion
llList2String,implemented,,basic indexed conversion
llList2Vector,implemented,,basic indexed conversion
llListen,partial,,basic chat listener registration
llListenControl,missing,,
llListenRemove,partial,,basic listener removal
llListFindList,implemented,,basic contiguous search
llListFindListNext,missing,I,
llListFindStrided,missing,I,
llListInsertList,missing,,
llListRandomize,missing,,
llListReplaceList,implemented,,basic slice replace
llListSort,missing,,
llListSortStrided,missing,I,
llListStatistics,missing,,
